Name of Partner ,Discount Detail,Partner Detail,Expiry Date,Flyers,Terms & Conditions,Point of Contact,Phone,Email,Call to Action,QR Code,Address
Al Jazeera Medical Center,Discount on Medical Services (Details in The Share Folder),Medical,31-Dec-23,,"Discount cannot be used in conjunction with any other promotion, discounts or privileges",Khouloud Jbeli,,Marketing@aljazeeramc.com,,,
Al Rayes Laundry,"50%  Discount on every washing, pressing and dry-cleaning service.",Laundry,07-Mar-24,Yes,The Corporate discount doesn't include home delivery services,Ahmed al Rayes,,Csr1@alrayeslaundry.com,,,
Banyan Tree Hotel,"Corprate Prices For Rooms, F&B and Spa (Details in The Share Folder)",Hotel / Restaurant,N/A,,,,,,,,
DHL,50% discount for all shipments,Service,31-Dec-24,Yes,,Mohamed Khamis,,,,,
Diet and the Beast,25% for any ala card order + 10% for any monthly plan registration,Restaurant,N/A,,,,,,,,
Diet Mood Plus,25% for any ala card order + 10% for any monthly plan registration,Restaurant,N/A,,,,,,,,
Doha Oasis Padle Courts,25% Discount ,Activity,N/A,,,,,,,,
Dr Diet,25% for any ala card order + 10% for any monthly plan registration,Restaurant,N/A,,,,,,,,
Eggspectation (The Pearl Branch Only),15% Discount on Food & Beverage,Restaurant,28-Feb-24,,Discounts shall not be available on any promotional items and shall not be clubbed with any other promotional offer,Rodel L. Cabrera,+974 3085 8511,Corporate-qatar@eggspectationme.com,,,
ER Detailing,Discount on Car Detailing & Services (Details in The Share Folder),Service,N/A,,,,,,,,
Gym World,Discount on Karate - MMA - Jiu jitsu subscription (Details in The Share Folder),Activity,Expired ,,,,,,,,
La Cigale,"Coorporate Prices For Rooms, F&B and Spa (Details in The Share Folder)",Hotel / Restaurant,31-Dec-23,,"Corporate rates are subject to availability at the time of booking and during school, public holidays and city-wide events","
Tony Mimar",,Tony.mimar@lacigalehotel.com,,,
Naseem Healthcare,20% Discount for specialist consultation and General consultation,Medical,16-Sep-24,,The Offer will be available only for the members and their family members of Doha Oasis,Imran Sat Ummer Sait,,Imran@naseemhealthcare.com,,,
Planet Hollywood,15% Discount on Food & Beverage,Restaurant,N/A,,Discount is not available on already discounted food items,,,,,,
Quest,Free Ticket for colleague and 50% discount up to four guests per month.,Activity,N/A,,,,,,,,
Reyada Medical Centre,20% Discount will be applied for all remaining dental procedures (Details in The Share Folder),Medical,29-Aug-24,,Discount are excluding medicines & injections,Altaf Khan ,,Bdm@reyadamedicalcentre.com,,,
Shakespeare & Co. (Dar Al Salam Mall Only),15% Discount on Food & Beverage,Restaurant,14-Feb-24,,Discounts shall not be available on any promotional items and shall not be clubbed with any other promotional offer,Rodel L. Cabrera,+974 3085 8511,Corporate-qatar@eggspectationme.com,,,
Sharq Village Hotel,Corprate Prices For Rooms and F&B(Details in The Share Folder),Hotel / Restaurant,31-Dec-23,,The rates are subject to rate and room type availability at time of reservation.,Nazrin,+974 5515 1229 ,rahul.bakshi@ritzcarlton.com,,,
Slot Racing Qatar,10% discount on the food and Car racing circuit,Activity / Restaurant,N/A,,,,,,,,
Squad 5 Training,(Details in The Share Folder),Activity,31-Dec-23,,The discount cannot be used on items on sale or special promotion,Wissem Saadallah,,,,,
Sugar café,25% for any ala card order + 10% for any monthly plan registration,Restaurant,N/A,,,,,,,,
UFC Gym,10% for 3 Months - 15% for 6 Months - 20% for 12 Months,Activity,11-Jan-24,Yes,Discount applicable to the standard membership prices only,Saeed Kosar,,,,,
VOX,33% On Cinema & Bowling +15% on F&B (From Saturday to Wednesday),Activity,N/A,,,,,,,,
